u1,u2,u3,u4,u5,u6,u7
53.68,84.88,47.9,37.88,31.3,44.38,58.6
59.92,79.24,46.56,46.76,18.96,69.2,45.14
62.22,84.64,55.92,40.38,21.62,51.92,45.38
46.98,81.06,48.68,55.5,21.2,53.92,36.08
55.1,79.62,42.82,50,26.34,51.54,44.78
54.36,73.62,40.8,38.96,25.92,59.32,41.36
57.12,66.02,42,37.12,36.8,39.96,52.52
56.5,68.8,39.64,37.28,33.84,53.02,46.28
55.66,63.66,39.78,46.2,28.56,66.7,51.56
62.78,73.18,34.82,32.48,35.88,51.24,35.54
63.28,75.18,45.64,35.58,30,53.22,38.54
59.58,65.12,40.52,41.54,24.26,57.72,37.04
55.06,66.84,30.58,49.06,17.36,71.18,37.46
54.14,71.16,31.98,54.86,36.34,60.76,38.74
54.18,68.18,26.42,47.28,16.68,53.5,44.38
57.54,56.78,24.58,49.58,15.12,59.74,40.36
62.88,54.36,37.54,42.76,9.3,63.52,41.2
65.98,46.14,44.26,44.62,2.48,55.24,53.9
66,49.32,40.6,43.88,25.54,49.56,42.36
64.34,48.26,44.38,40.2,26.62,63.78,38.46
65.44,51.38,38.14,38.96,24.62,62.04,49.06
65.1,51.86,35.7,34.66,28.36,76.22,43.48
65.76,50.56,34.6,34.34,31.42,75.5,58
64.96,43.82,41.76,39.72,31.82,80.36,54.62
70.08,37.12,51.08,32.84,23.84,102.06,55.3
67.7,40.46,44.48,44.66,31.18,60.68,48.18
69,47.1,42.4,42.76,39.58,44.82,50.64
63.3,48.4,48.44,41.2,31.12,66.16,42.76
66.58,48.22,42.32,45.3,39.76,61.46,51.62
70.14,50.76,40.6,42.54,35.88,54.44,37.46
57.1,63.74,43.62,37.42,23.04,52.82,35.98
52.88,63.24,45.96,36.5,31.1,66.2,41.58
54.64,56.96,46.32,40.34,35.34,63.92,45.36
48.72,56.48,38.96,37.56,30.08,62.78,31.66
48.5,54.3,45.76,45.4,35.98,68.88,47.78
51.88,57.22,45.74,47.22,22.34,61.36,30.3
42.78,50.5,48.74,48.1,29.36,67.2,40.96
42.04,50.68,53.22,46.88,42.22,68.24,42.6
40.22,50.66,51.74,52.5,31.02,68.74,25.88
38.44,36.3,43.32,54.86,34.72,66.08,40.78
43.54,43.32,39,67.5,45.56,49.94,42.1
45.38,42.7,38.48,64.24,57.28,50.18,49.26
44.14,53.14,29.28,63.48,52.86,52.34,26.74
44.14,50.6,48.18,66.44,51.58,52.64,48.84
48.88,51.36,46.24,67.34,43.54,52.06,23.44
47.76,54.18,48.62,69.6,44.64,54.62,51.68
56.44,46.56,56.92,64.02,46.46,48.94,49.66
51.12,52.88,54.56,56.36,37.32,56.84,20.6
66.62,40.56,51.62,65.34,39.62,57.16,19.82
74.22,50.22,51.82,63.76,32.1,54.96,30.92
67.36,56.86,50.7,47,34.24,54.92,26.7
63.68,54.82,54.92,60.32,49.56,52.22,41.84
70.32,45.94,51.88,51.48,40.1,44.14,34
55.98,45.84,47.4,47.54,36.52,45.98,43.52
41.6,39.76,53.1,42.64,43.58,48.06,47
51.3,50.12,55.82,50.24,51.52,48.26,40.66
46,63.78,44.28,45.74,46.6,48.86,21.28
52.8,59.1,45.46,36.94,48.26,59.78,22.64
47.96,52.62,44.64,32.72,48.86,71.66,35.6
47.12,49.24,49.12,37.62,48.82,53.92,19.66
47.52,46.48,60.78,35.22,41.26,39.28,31.6
61.56,56.04,60.78,41.98,49.52,33.8,45.48
57.22,54.5,55.28,39,48.34,32.16,38.54
52.68,53.3,58.96,40.4,48.62,34.48,45.04
55.6,51.38,54.68,46.3,49.2,29.66,43.72
52.76,52.5,59.9,33.5,46.72,36.8,29.08
55.58,47.42,53.74,37.7,42.82,30.86,27.54
53.24,49.38,59.48,38.4,47.62,29.2,35.56
59.72,50.9,68.08,44.1,44.08,36.46,40.66
45.36,55.94,68.26,39.78,43.62,42.62,37.5
51.62,53.36,59.04,42.44,44.38,43.94,3.56
56.96,55.74,63.64,43.64,31.24,42.34,25.12
51.36,55.14,58.26,41.1,34.62,25.1,24.26
53.1,53.32,60.38,43.36,43.7,23.3,30.36
53.94,63.3,66.46,35.92,46.42,24.14,45.56
54.9,62.3,51.5,38.98,41.46,22.16,40.62
51.76,62.96,56.86,31.36,42.16,17.18,30.88
45.74,64.98,55.5,38.46,34.82,17.34,29.42
40.4,67.32,62.2,44.26,38.96,24,36.02
43.72,61.42,58.58,36.48,33.18,35.78,53.42
47.78,70.88,49,29.04,29.98,24.9,56.94
43.26,72.78,48.06,41.34,36.5,23.36,36.64
44.94,64.9,51.48,42.54,35.74,25.06,32.66
47.82,63.7,50.74,44.72,31.26,30.92,52.56
47.54,59.18,48.42,53.42,33.12,29.6,24.12
39.08,55.62,48.78,50.56,31,38.16,45.14
39.16,60.72,53.68,50.22,36.96,42.48,20.28
40.14,71.24,56.04,52.1,31.1,41.1,7.4
47.22,67.64,57.08,43.92,33.46,41.82,30.72
57.44,73.18,67.82,42.56,36.7,41.52,18.2
60.84,55.48,64.22,43.4,36.42,45.16,27.4
66.28,64.78,61.36,33.04,37.7,45.88,20.38
59,62.06,61.96,41.56,28.86,39.42,26.36
66.42,63.34,68.98,44.5,37.34,36.96,31.98
57.82,58.72,52.12,44.08,19.66,32.28,45.42
63.12,51.28,52.86,52.5,29.32,46.98,29.36
61.1,59.76,59.16,49.06,28.4,42,33.6
56.66,46.76,60.34,55.86,29.5,40.88,43.42
45.18,51.5,61.48,59.04,33.28,46.26,42.08
47.04,78.96,59.9,55.7,31.38,38.9,57.72
54.24,68.46,62.06,51.84,39.02,40.9,41.06
54.94,69.88,60.42,59.82,39.98,37.34,37.8
50.9,63.34,61.34,55.84,37.24,37.56,35.88
51.3,61.06,49.4,48.2,35.54,50.64,25.62
54.38,61.02,59.48,54.3,24.54,44.76,37.14
46.18,54.48,53.22,48.44,31.18,44.18,37.4
54.8,56.06,49.88,45.64,22.54,49.68,34.4
59.6,60.24,44.84,58.14,23.62,50.24,27.24
49.02,59,44.96,68.46,31.26,45.72,21.02
56.54,51.4,42.32,69.74,30.52,44.24,29.82
45,52.2,43.2,67.38,31.68,48.6,12.08
57.06,48.12,35.36,71.62,28.6,44.26,29.24
73.36,53.62,46.82,72.9,24.12,43.94,18.92
48.92,52.94,56.8,82.04,25.62,36.28,28.14
48.12,48.04,47.62,64.9,25.22,40.54,43.2
58.06,52.8,53.74,59.48,32.76,41.92,9.04
59.62,51.24,56.92,68.26,39.46,48.56,29.3
47.5,51.02,58.66,60.32,27.62,39.64,44.82
59.24,49.24,65.84,62.1,25.6,36.02,26.98
62.96,48.38,63.9,71.2,27.52,47.1,24.68
63.92,52.18,53.26,67.02,26.2,41.7,33.02
53.92,67.64,45.96,61.5,36.18,44.9,24.66
58,63.02,59.1,66.46,23.06,53.22,32.7
56.9,63.7,51.8,73.74,36.74,46.26,40.76
61.68,52.24,56.92,66.7,32.36,43.64,33.94
75.2,46.3,64.88,65.76,35.22,34.38,25.8
76.42,49.68,52.4,63,33.34,36.92,30.16
57.42,42.7,39.46,68.16,34.78,36.64,29.32
53.94,56.8,35.28,64.08,37.22,49.4,43.08
54.32,53.34,44.94,59.32,35.78,41.02,22.18
51.68,57.92,43.02,64.64,42.02,43.12,32.76
53.26,54.56,51.18,62.34,36.62,34.62,5.48
55.6,49.8,56.1,62.44,30.74,37.82,24.22
48.72,57.08,65.18,61.84,45.48,41.58,29.44
57.26,55.42,52.36,54.62,70.2,37.4,18.26
57.66,60.46,48.12,57.16,67.76,42.64,-0.96
45.76,56.5,44.16,44.38,62.6,36.52,19.42
53.24,49.22,31.3,64.7,63.5,47.7,26.36
49.68,51,35.26,60.12,50.98,31.68,31.94
56.8,45.54,48.6,51.74,56.9,38.38,21.18
63.28,45,62.6,39.64,68.36,42.56,28.54
66.94,46.82,68.84,37.6,69.64,41.74,14.96
67.86,52.56,62.54,43.44,60.54,44.14,12.62
69.26,34.76,67.74,37.12,62.82,45.26,22.22
67.66,44.56,59.32,39.46,62.78,38.98,14.9
67.38,42.22,72.38,40.48,60.32,32.06,13.4
69.66,46.52,64.26,37.28,59,33.98,23.4
69.02,42.58,63.38,25.2,59.54,34.94,26
71.9,43.4,63.48,33.38,53.12,45.02,31.86
62.22,45.62,59.6,46.92,50,42,26.4
57.84,51.8,63.8,42.32,54.26,39.72,21.06
65.02,47.66,53.36,36.28,49.22,36.96,14.42
64.98,46.66,49.76,37.72,50.58,40.96,30.18
56.1,51.9,52.94,35.28,47.82,46.5,33.16
61.48,41.02,58.92,43.94,49.74,37.56,37.5
60.74,52.62,62.3,54.6,51.16,49.96,30.14
50.82,64.1,55.78,49.34,54.24,45.38,22.52
57.16,61.04,56.24,54.98,58.88,49.4,18.74
59.78,70.64,54.44,59.14,54.4,70.76,30.16
60.96,54.04,54.88,49.98,56.24,59.08,29.68
64.34,59.98,58.96,55.74,59.98,58.06,24.58
64.98,59.04,55.1,45.38,56.9,57.9,0.58
50.38,57.42,59.28,48.2,59.66,56.62,19.7
54.78,63.12,46.6,45.78,62.34,59.1,15.52
41.56,59.98,43.44,43.82,56.86,48.5,4.62
41.52,55.68,44.98,43.28,56.24,45.36,28.78
54.96,60.52,43.52,45.76,50.94,49.12,23.5
52.68,61.8,44.5,41.32,49.1,37.4,36.02
50.02,60.6,56,49.48,50.92,37.4,12.28
50.34,58.62,47.32,43.44,57.66,34.78,43.68
61.74,61.02,52.86,53.48,61.24,36.02,28.76
64.14,64.5,57.62,55.38,51.42,57.92,10.9
68.42,61.4,54.58,49.88,49.92,57.64,6.44
60,65.7,58.92,46.38,48.28,64.86,15.76
57,70.38,54.58,48.06,47.64,81.48,8.04
55.98,63.84,50.4,53.68,51.56,63.04,30.96
59.64,65.5,53.92,57.6,48.68,61.54,19.78
56,69.94,51.06,55.78,48,61.4,19.76
58.5,63.44,45.22,53.22,54.4,59.78,23.44
57.1,62.08,51.8,52.48,48.68,36.5,48.76
43.78,65.08,51.68,57.84,54.26,55.66,23.8
49.02,59.06,52.3,51.18,48.44,34.32,19.82
54.76,59.72,48.72,44.2,57.6,29.66,28.68
56.14,61.72,42.1,42.52,55.98,36.84,18
52.34,52.96,41.5,48.82,67.7,40.72,25.86
48.38,46.8,41.22,43.58,73.1,35.92,25
50.8,44.06,43.44,47.56,67.9,35.6,20.66
50.1,27.3,45.92,53.92,62.56,32.48,22.88
51.68,48.5,40.46,55.04,51.84,37.02,21.94
68.04,46.5,47.64,45,66.16,36.4,31.42
61.88,46.92,42.18,52.84,59,42.46,34.86
46.22,43.84,54.04,47.7,54.98,39.14,29.22
64.08,49.16,54.88,45.78,54.08,30.36,17.58
63.66,59.3,51.5,42.84,62.34,34.64,45
66.9,55.24,46.44,36.52,65.9,38.46,19.44
64.42,55.1,42.42,33.4,53.68,42.02,28.62
62.04,48.24,40.52,43.4,50.24,40.84,25.56
60.82,47.86,37.68,42.14,54.54,40.96,25.22
64.04,56.3,40.34,47.5,53.24,46.08,-7.16
60.38,53.3,46.54,49.42,49.82,40.96,29.78
62.6,53.74,48.48,42.62,60.28,43.22,32.92
55.6,48.76,55.38,50.5,55.08,33.02,30.36
54.34,57.08,56.1,48.38,61.62,35.34,-8.54
68.8,56.64,49.88,52.14,53.54,34.04,28.46
62.78,51.44,48.9,50.26,55.78,33.66,25.46
72.84,50.4,57.08,54.92,57.04,29.16,-16.22
67.1,47.2,61.64,52.32,49.56,22.82,28.02
55.84,53.52,59.6,50,50.38,21.76,6.66
60.78,58.8,49.6,40.94,49.96,-10.3,17.78
55.68,52.22,46.06,42.88,46.38,2.74,21.52
53.78,53.84,46.56,37.76,45.7,10.94,15.28
58.26,52.32,53.18,37.02,44.74,26.68,10.12
49.7,52.98,66.3,44.68,44.44,33.1,3.24
51.36,51.1,65.64,51.5,46.56,33.86,19.76
49.08,51.68,62.16,47.28,50.8,38.26,28.74
47.82,49.06,57.1,50.18,52.42,31.42,10.4
56.04,54.36,63,51.82,47,36.34,26.68
53.04,53.62,65.28,49.24,50.56,28.32,29.12
57.72,52.18,58.36,52.4,46.92,43.94,27.74
52.78,52.84,69.1,53.24,47.62,38.12,24.58
59.48,48.66,65.24,57.42,59.22,37.22,29.04
56.86,51.24,53.66,70.32,62.6,43.06,26.82
63.12,44.52,51.24,50.66,66.46,33.96,31.26
63.58,39.2,43.54,56.32,58.16,33.94,32.84
59.94,37.2,46.54,57.3,63.96,35.12,23.94
66.6,41.46,45.14,52.78,66.42,34.36,6.86
57.14,42.1,52.16,49.3,67.62,31.76,19.38
66.2,47.8,51.84,54.5,58.02,31.98,21.34
63.14,55.1,56.04,46.72,57.76,42.24,23.4
63.98,48.82,56.98,65.28,54.78,41.18,39.2
81.32,48.5,52.72,57.82,54.44,37.7,32.66
82.74,46.76,53.26,59.48,62.18,41.8,28.3
74.12,51.68,54.64,56.96,64.06,43.64,42.26
74.56,51.8,50.68,59.94,59.26,48.18,48.06
81.68,47.86,53.42,69.88,60.84,37.46,33.62
77.74,46,53.18,70.56,62.96,49.78,45.64
67.2,46.64,55.18,71.14,64.94,64.8,39.88
82.92,51.86,53.24,63.4,58.04,70.22,38.78
83.42,51.82,53.3,69.84,54.04,59.98,26.48
75.02,47.84,58.22,56.28,53.24,55.04,35.3
78.06,59.96,60.48,52.86,65.7,48.26,46.28
90.28,50.58,68.64,60.1,62.66,49.22,42.32
92.7,52.62,58.28,52.5,65.9,54.36,34.4
98.9,53.24,55.38,59.92,63.9,51.82,20.9
87.86,58.48,56.02,57.04,65.14,45.08,34.6
77.82,56.54,60.24,63,70.32,45.38,26
90.76,53.26,66.48,60.2,57.32,46.26,20.04
88.86,52.5,52.28,61.76,55.1,53.94,29.02
76.28,55.44,54.38,50.58,50.08,53.72,26.2
79.54,47.46,52.48,68.34,50.3,35.78,34.32
77.56,57.6,51.54,66.62,52.04,61.76,33.72
74.54,54.36,53.62,60.6,53.52,53.86,18.9
74.2,60.66,51.52,57.16,55.34,52.7,23.14
75.84,52.68,52.02,66.24,60.1,56.08,29.44
70.06,54.26,54.54,68.3,62.8,53.48,21.82
65.12,59.34,57.3,63.92,65.34,45.42,43.84
65.94,60.62,61.76,60.78,63.22,49.5,36.34
71.5,62.22,59.68,61.22,63.84,46.24,45.1
75,55.3,52.3,56.84,55.96,39.68,25.6
74.18,52.18,53.92,58.76,44.88,31.92,38.22
72.98,63.9,48.96,55.74,41.96,36.1,27.72
76.14,63.98,47.6,58.66,52.88,34.08,36.74
76.54,61.38,54.42,57.78,58.22,44,27.28
78.02,63.08,48.9,41.48,49.68,31.54,17.78
80.62,66.22,58.7,38,35.02,19.02,41.02
77.1,59.22,57.94,42.36,37.06,30.48,33.46
77.98,59.6,56.08,44.88,34.54,25.58,47.26
79.44,62.04,60.1,46.14,44.14,32.38,36.34
75.06,59.84,46.68,47.98,44.68,32.34,41.7
67.34,65.78,47.64,46.24,45.82,36.06,53.36
63.02,69.14,44.34,52.56,46.56,42.7,42.48
50.54,52.86,42.22,48.22,39.12,30.54,51.56
52.98,44.88,43.46,51.02,38.58,27.92,55.5
51.56,55.64,47.74,46.76,35.76,45.72,49
54.46,48.16,44.7,49.82,34.94,43.62,57.48
58.02,44.94,57.08,49.78,40.6,45.56,46.7
56.98,40.58,49.88,53.28,53.74,45.72,43.64
54.98,49.58,48.06,59.78,47.06,37.66,37.86
40.04,54.84,44.72,65.18,43.02,34.62,43.08
63.76,60.24,54.96,65.7,50,36.88,43.24
68.32,48.74,52.76,60.6,45.46,33,37.08
62.84,50.9,52.64,50.96,43.7,34.56,23.88
61.64,54.74,51.04,40,54.8,38.28,35.22
63.9,54.26,56.16,56.16,57.08,44.86,21.88
62.04,66,52.4,41.18,58.2,52.3,29.98
58.42,60.54,49.92,51.56,54.88,45.84,13.8
61.32,59.84,44.12,55.36,52.92,42.94,40.22
66.44,59.88,42.36,57.3,50.42,42.82,21.66
72.2,56.46,41.78,53.42,50.28,33.02,22.44
62.82,57.94,45.12,64.9,39.66,28.66,28.86
52.62,56.24,46.58,63.34,44.02,25.5,24.38
56.86,57.66,49.08,55.68,41.82,16.32,23.56
58.92,62.8,62.96,53.36,44.76,21.2,26.18
57.46,60.54,54.04,56.06,52.92,27.12,29.78
60.26,59.42,55.68,57,58.92,42.4,26.74
52.16,61.92,56.52,60.74,53.72,35.5,9.78
59.68,58,62.96,58.08,55.42,31.26,25.2
53.24,65.02,67.94,66.12,54.04,35.24,36.68
62.78,58.58,60.74,59,52.86,40.38,22.2
61.42,60.12,59.5,58.42,57.42,27.18,24.12
57.38,66.54,53.74,56.72,60.76,37.46,22.96
55.14,54.32,56.68,60.3,53.2,28.24,27.28
56.38,40.34,57.56,55.22,56.6,41.62,11.96
55.26,44,53.54,63.24,64.52,57.3,14.36
53.68,42.88,53.34,63.1,57.34,59.14,27.82
59.3,50.92,51.3,65.62,44.5,54.82,18.98
55.04,52.92,52.78,67.14,50.78,46.36,22.68
45.28,52.9,47.42,56.64,45.68,46.06,18.9
48.98,58.66,59.46,60.44,37.02,37.66,4.36
42.94,54.1,64.16,62.22,45.86,28.18,28.36
56.84,54.1,59.78,57.44,42.7,46.8,21.56
60.72,50.92,62.18,52.86,43.88,53.62,-4.92
49.52,46.42,55.72,55.86,52.68,53.24,-5.36
54.86,49.52,53.86,38.9,49.78,51.66,8.14
52.58,54.04,50.28,57.98,46.96,48.44,-10.76
49.88,46.88,56.6,61.2,48.02,56.42,-9.22
56.72,52,54.54,60.54,44.58,63.7,15.54
57.42,58.42,65.06,56.98,44.7,58.62,19.3
63.88,58.3,58.78,61.04,51.72,49.62,7.42
61.66,52.52,69.32,55.18,47.6,48,20.44
59.22,52.82,64.54,54.82,46.82,49.56,16.02
56.88,58.64,66.02,52.98,43.32,48.34,23.9
56.54,53.96,61.98,60.48,38.2,36.66,10.84
54.14,49.64,69.32,56.14,37.06,48.88,11.48
59.98,69.2,66.68,61.44,32.38,53,18.28
72.2,67.38,58.68,67.36,32.64,57.86,28.98
75.02,68.12,61,53.08,44.22,52.66,23.6
71.64,70.08,64.58,60.04,48.22,47.2,23.94
76.24,77.14,72.32,70.24,48.12,52.88,7.4
79.68,68.6,64.66,67.82,54.24,48.6,23.62
74.92,71.38,68.6,62.78,60.9,60.84,21.64
76.94,68.82,66.96,57.3,55.32,49.06,15.74
74.14,73.3,61.32,59.08,49.66,53.96,26.54
75.06,71.24,64.36,62.66,49.56,46.92,38.9
73.32,60.92,59.04,82.24,44.96,48.2,29.76
74.88,67.38,65.68,59.16,44.58,48.54,31.26
69.46,57.5,64.22,46.06,47.6,45.16,33.72
67.98,55.12,64.26,47.44,58.02,57.86,8.22
70.62,53.58,63.82,51.74,50.94,44.32,31.16
67.9,65.56,65.6,51.72,36.78,55.18,-14.34
71.26,66.9,65.24,36.24,45.7,47.66,26.92
66.6,71.44,68.88,50.58,42.16,45.32,24.76
62.14,60.72,67.4,35.78,46.38,39.28,3.44
63.56,57.38,61.7,42.46,31.62,40.28,33.9
64.74,70.52,62.2,41.28,39.44,47.46,3.92
55.38,78.22,67.96,45.66,40.4,45.06,5.22
60.66,72.58,60.52,53.02,34.58,39.78,34.22
60.28,83.54,68,52.38,29.58,44.04,44.64
63.94,80.48,57.16,58.64,14.26,49.06,77.56
61.34,78.1,54.14,58.9,36.68,41.38,25.9
67.7,77.78,57.48,61.62,19.06,29.3,52.94
71.84,71.82,62.32,67.16,17.58,39.78,32.6
69.22,69.38,55.56,74.44,20.76,26.5,52
76.12,66.28,65.28,71.98,25.42,37.9,45.88
79.68,67.2,53.18,78.96,27.46,43.52,49.36
86.04,74.88,51.78,78.78,39.1,46.54,47.98
71.6,73.34,56.98,73.76,31.04,39.58,36.68
75.62,72.64,49.52,64.66,31.74,45.36,71.92
67.28,71.58,45.64,64.64,24.28,37.48,55.68
74.6,70.02,41.82,74.68,34.44,41.64,45.88
74.3,72.5,28.36,78.36,31.48,36.38,43.82
81.26,74.94,21.02,92.18,28.84,46.38,49.5
62.1,64.96,37,90.66,28.54,51.34,36.66
72.82,73.94,47.76,93.34,29.74,46.14,45.12
76.56,79.34,59.62,87.92,27.98,45.96,62.74
61.08,71.04,58.66,95.08,31.04,32.36,32.92
56,69.02,52.92,91.54,26.58,40.96,44.12
61.72,71.64,48.2,94.44,22,40.46,30.18
61.22,73.08,46.86,79.22,23.14,35.38,30.04
73.68,68.4,52.44,66.72,23.14,33.08,25.82
65.3,62.76,57.72,60.48,18,34.2,49.88
53.64,64.66,48.72,67.22,32.82,32.04,42.98
78.24,67.06,41.82,74.52,32.9,41.64,48.92
64.08,70.8,44.26,70.8,31.42,39.78,42.26
66.28,64.98,39.52,69.54,31.02,40.62,49.9
62.4,69.8,57.18,77.3,26.46,39.94,43.46
73.22,71.56,42.66,67.48,29.9,36.88,38.4
73.92,69.22,48.78,67.52,30.18,44.38,27.04
66.02,75.52,52.66,52.78,28.4,48.02,34.14
68.7,75.68,31.76,65.96,28.38,60.78,33.6
66.24,72.08,42.58,62.1,28.58,45.52,26.28
66.76,76.94,43.12,60.16,39.54,59.32,21.04
62.22,72.06,42.04,61.1,33.1,42.8,31.1
57.44,74.56,42.7,53.6,25.96,37.84,30.14
52.54,60.98,47.08,51.58,40.02,34.86,32.1
55.88,69.96,42.54,39.2,36.44,41.78,32.04
53.6,65.08,44.64,38.28,47.56,47.42,23.56
44.1,74.16,44.78,52.04,44.26,43.1,33.14
52.02,59.78,45.4,41.56,49,41.38,31.1
52.16,64.38,49.7,36.98,37.72,45.6,32.04
51.86,63.3,48.94,47.18,56.6,37.32,42.7
54.52,68.26,49.24,46.14,54.64,49.62,28.78
55.3,66.8,49.38,46.72,50.44,47.14,20.88
49.58,63.92,50.76,34.96,46.68,48.46,16.2
48.66,59.74,43.2,43.54,56.48,35.66,19.24
58.02,56.24,56.26,35,54.98,45.76,23.64
59.48,49.58,54.14,44.94,53.28,53.74,18.86
65.42,58.56,53.38,43.64,54.32,55.44,5.48
59.34,58.58,57.04,56.62,52.16,60.94,18
61.66,66.84,47.72,53.12,43.62,67.34,27.36
67.64,63.38,56.64,57.42,50.92,61.16,15.44
48.86,66.5,48.82,43.28,49.3,57.16,38.62
63.48,69.32,52.68,53.84,45.44,53.32,31.3
57.22,67.6,50.84,47,44.72,50.68,35.88
57.22,72.3,53.74,38.34,47,57.96,21.38
55.22,65.54,60.7,46.22,47.82,64.16,19
49.1,57.36,64.66,51.76,35.34,64,15
53.12,49.36,67.4,35.72,40.46,53.36,15.16
58.24,55.74,60.2,41.74,32.26,43.44,20.04
50.06,60.1,53.5,50.86,42.24,47.8,0.24
46.82,67.76,61.84,51.28,38.76,53.8,-1.58
46.68,64,70.54,47.52,44.04,51.26,-3.38
43.3,60.34,62.72,54.02,46.32,50.62,36.84
42.76,60.2,52.84,41.94,47.06,50.16,8.6
48.98,62.02,49.46,42.32,39.7,46.72,28.74
45.52,61.46,51.44,50.12,41.04,59.56,37.66
42.42,61.34,57.76,47.1,45.34,45.48,23.38
45.26,68.82,49.1,42.38,36.4,44.78,37.16
53.06,59.18,50.6,44.22,46.72,41.02,37.1
47.34,69.34,40.82,46,46.88,42.46,28.8
48.8,74.68,55.94,45.18,42.26,46.42,40.9
55.24,60.84,39.1,45.98,54.94,34.34,35.8
64.1,55.78,52.18,42.62,47.36,41.76,7.84
65.84,69.8,33.76,45.16,36.16,50.04,28.66
60.28,66.72,35.9,43.38,28.66,44.46,24.7
54.62,65.66,42.6,41.7,15.54,33.68,27.16
44.6,56.74,33.48,37.64,45,39.34,20.82
50.84,52.06,37.08,43.98,55.48,40.36,11.52
55.24,66.96,40.9,50.76,62.6,47.88,32.54
46.04,63.16,28.66,57.44,76.76,42.02,16.36
50,62.8,37.26,59.16,60.28,43.72,22.74
50.1,52.12,36.22,53.68,60.06,38.64,29.42
47.68,47.5,47.84,52.56,67.24,30.9,34.34
56.42,52.86,46.82,52.3,72.88,33.74,26.52
67.3,50.44,43.6,38.78,53.94,25.84,35.3
67.2,44.02,40.42,46.62,58.78,20.66,32.84
79.68,50.64,41.38,57.84,56.92,34.04,23.06
66.22,46.78,64.38,49.68,63.84,30.6,27.68
71.7,46.74,61.66,59.04,60.28,36.24,32.6
61.02,51.52,68.58,54.18,69.38,30.7,42.14
59.26,41.78,64.32,49.58,74.18,34.48,23.66
65.96,56.06,57.98,43.46,66.28,32.28,13.04
60.26,50.26,53.74,55.68,68.78,38.02,-30.72
61.04,51.7,45,59.4,60.36,38.08,28.8
65.88,60.4,43.58,61.04,53.14,36.08,29.1
69.1,45.72,38.92,53.38,53.28,37.46,13.96
62.48,53.84,33.34,48.16,59.76,35.5,16.52
61.66,60.94,36.4,43.78,36.96,34.28,14.52
67.4,57.28,45.18,47.58,46.76,39.68,10.8
65.4,57.04,50.68,48.96,56.18,50.3,7.98
63.88,73.24,48.06,49.02,52.18,44.02,15.46
54.24,63.28,52.88,50.24,47.26,46.66,2.46
47.72,53.58,43.9,49.24,44.82,39.02,20.52
58.54,61.9,43.22,48.68,54.86,37.28,30.04
59.98,60.6,41.12,50.24,45.1,27.54,-2.88
53.36,53.98,45.86,64.66,39.42,31.14,14.2
55.5,58.88,44.64,63.62,39.34,32.52,22.72
63.12,58.28,30.16,56.86,37.52,38.34,38.38
58.1,58.88,34.66,59.16,42.42,31.3,21.36
57.3,70.08,40.08,57.44,35.58,29.98,13.2
55.84,68.8,35.6,57.48,39.22,27.94,21.64
60.12,70.68,39.16,63.42,40.7,35.5,22.88
61.74,63.14,42.86,57.52,43.88,32.34,34.04
60.02,65.76,40.08,70.54,48.62,32.02,30.52
54.3,58.6,37.44,62.48,49.64,37.92,30.72
59.08,59.14,40.9,66,55.1,43.14,36.2
52.76,58,39.64,49.82,57.1,44.96,38.34
60.86,60.14,38.96,53.2,46.92,42.82,31.54
64.34,54.04,45.82,59.02,49.42,45.26,33.72
72.82,54.8,53.42,50.46,42.64,45.7,38.74
68.88,56.8,48.5,47.12,36.68,45.44,30.18
73.36,53.54,55.8,51.14,39.18,50.2,30.78
72.7,51.7,51.82,58.42,37.6,61.56,27.9
74.78,53.38,55.36,42.02,36.1,60.2,39.2
76.8,60.24,53.98,58.44,40.58,49.68,17.82
76.8,67.96,60,52.96,41.6,61.34,25.68
74.18,56.36,48.44,58.1,47.5,47.32,24.12
70.54,59.96,39.28,48.1,46.7,42.32,25.36
68.88,63.24,50.06,53.18,38.86,40.56,30.94
63.02,60.98,46.76,53.06,38.9,38.76,31.64
69.32,61.48,36.52,48.72,38.26,41.36,39.16
65.56,53.34,38.18,52.92,41.08,40.14,39.2
65.26,59.22,35.42,56.12,41.98,35.54,28.52
68.16,57.72,35.68,56.84,41.24,41.82,43.18
66.48,55.94,45.22,61.78,36,52.64,53.5
80.36,57.86,55.78,57.62,26.32,49.26,36.36
91.58,56.46,60.66,55.1,25.96,46.88,30.98
80.7,57.7,65.96,55.9,29.76,61.16,36.24
76.9,50.76,58.04,63.9,32.54,59.56,34.92
71.04,58.6,53.64,47.88,30.14,61.78,53.14
61.44,53.72,56.38,48.76,33.02,64.46,33.82
55,51.44,58.9,54.3,34.04,63.28,42.52
52.52,54.24,53.48,46.32,42.38,64.18,41.76
53.78,55.04,49.02,57,38.84,71.72,50.8
47.66,62.34,55.16,52.52,35.5,58.6,34.84
47.94,54.46,68.02,54.1,34.06,67.4,29.8
46.22,52.5,66.76,53.98,36.36,70.9,28.16
54.7,59.98,62.94,59.62,36.22,70.14,38.64
61.4,57.14,59.84,51.24,33.72,83.66,35.62
57.1,55.58,57.66,52.06,43.56,73.78,41.6
66.24,56.16,56.74,47.56,44.7,63.96,33.16
48.28,56.42,52.42,52.92,35.5,59.44,38.96
55.92,53.96,43.08,50.08,46.44,64.14,30.54
45.76,50.5,55.08,48.72,33.12,63.86,28.04
