u1,u2,u3,u4,u5,u6,u7
43.88,57.84,61.74,13.38,61.8,48.38,52.48
38.58,61.34,65.16,19.94,81.68,29.04,29.04
40.74,57.62,65.02,20.04,66,31.66,35.06
45.32,54.72,60.36,24.32,80.92,31.48,50.34
38.88,53.88,61.34,29.96,67.3,37.94,50.86
46.52,60.1,64.84,41.02,67.96,35.54,42.28
35.22,59.6,62.68,36.4,62.12,37.4,50.02
34.16,56.86,56.28,41.74,68.32,35.54,51.06
40.68,64.28,48.62,34.28,64.28,38.76,33.82
37.26,61.34,55.2,33.02,45.56,34.36,42.82
33.5,63.9,53.54,36.56,46.42,38.32,11.58
42.48,67.26,47,36.5,48.34,39.66,56.98
40.34,61.68,55.2,39.52,40.06,38.58,47.06
41.82,53.14,52.98,42.08,34.78,30.34,35.52
48.4,59.82,54.68,43.06,48.2,28.54,40
40.28,58.92,56.8,36.94,44.3,32.04,35.34
40.52,58.26,49.9,40.64,34.58,36.54,30.3
34.46,61.66,53.36,38.98,40.5,30.92,36.5
42.7,62.28,52.96,48.12,39.4,28.6,40.46
43.28,52.76,59.28,46.88,55.22,30.6,40.08
49.68,56.36,58.38,35.46,44.12,28.06,28.94
46.32,55.98,51.8,31.16,52.02,39.66,31
45.74,68.86,59.16,45.04,61.14,34.96,33.18
44.42,70.94,53,49.4,55.78,40.4,25.24
43.2,69.32,54.68,36.06,54.86,35.36,40.36
41.32,66.76,49.82,37.22,61.66,33.6,30.16
45.66,71.94,44.9,44.22,48.6,43.82,38.2
41.26,66.32,40.88,43.76,47.8,45.8,31.84
43.26,72.86,49.56,31.66,50.3,45.08,37.88
40.9,63.52,43.64,39.08,52.98,43.26,27.32
45.72,70.14,46.24,31.78,51.38,53.68,28.7
45.84,64.08,41.82,42.14,40.98,54.6,34.78
43.24,52.4,46,48.24,41.9,61.66,21.26
43.7,62.2,37.06,48.32,46.54,67.18,14.98
40.86,60.42,52.64,43.32,33.04,59.8,16.38
43.12,58.24,58.1,46.84,35.18,54.18,17.76
50.3,59.66,61.84,51.62,39.12,54.48,22.74
43.26,76.94,63.34,46.94,48.18,38.02,32.12
46.78,83,61.26,57.2,46.2,49.62,38.66
40.08,79.68,61.32,44.08,47.5,44.88,29.58
50.24,81.7,58.28,41.46,47.38,45.66,3.94
50.5,72.66,64.96,39.5,50.76,57.92,13.4
45.26,70.64,60.56,41.7,60.6,53.56,14.28
50.5,69.02,52.36,47.44,62.36,48.94,17.06
48.68,72.38,47,42.78,56.44,49.7,24.22
55.18,58.78,39.92,42.7,64.96,41.8,6.14
52.86,84.26,43.46,39.96,49.76,35.34,17.3
46.9,71.8,33.68,38.04,44.06,33.04,18.72
46.14,77.28,37.74,46.44,58.96,34.58,-3.94
46.26,67.02,45.04,46.76,53.5,41.44,25
42.08,64.12,43.94,54.26,49.6,43.32,16.14
38.54,67.78,49.32,50.5,48.14,30.56,23.56
47.04,69.46,54.14,59,44.82,33.1,25.18
44.64,82.58,57.98,53.5,57.68,39.32,10.88
39.34,72.5,65.64,56.62,52.76,59.9,21.26
36.66,77.1,71.1,56.04,58.06,39.42,23.24
51.16,71.58,68.2,57.62,61.92,54.04,14.76
44.88,68.54,50.82,49.98,57.62,53.54,31.32
50.5,78.68,63.14,45.18,47.06,59.16,16.38
45.62,74.88,68.14,50.44,51.86,55.48,10.1
48.5,76.44,69.94,49.14,47.3,67.34,29.02
43.48,67.76,67.4,46.04,54.86,62.28,19.88
50.68,79.86,67.82,49.76,49.84,54.08,17.84
47.48,73.86,77.18,59.22,49.86,57.42,26.4
46.9,79.62,78.58,62.1,43.5,57.98,22.68
41.38,69.98,66.34,57.52,33.92,61.26,23.62
38.66,78.36,59.6,52.84,39.58,65.04,21.3
48.38,78.9,60.34,58.98,39.24,55.54,34.4
50.12,78.06,62.88,55.94,43.6,39.34,23.06
57.84,72.22,56.38,50.94,38.96,39.12,15.26
59.96,73.44,61.6,52.58,43.64,43.14,12.14
64.62,63.98,51.86,48.96,43.82,43.42,8.4
65.78,57.68,46.72,48.82,59.1,27.18,17.46
64.66,68.14,47.3,50.24,51.02,36.36,18.32
62.36,69.08,44,43.4,52.32,38.96,14.76
64.34,75.5,56.28,50.44,47.94,49.56,18.64
63.46,67.84,51.5,48.58,50.24,33.6,23.94
67.68,61.16,53.42,44.5,52.8,41.46,17.68
62.86,58.28,55.54,39.1,49.38,44.7,16.38
58.98,62.3,57.48,37.46,38.24,33.56,14.34
62.08,58.34,60.82,42.6,45.42,17.2,20.4
63.44,65.46,51.06,36.5,51.72,31.68,17.02
60.28,70.38,56.86,31.26,49.9,27.8,24.16
79.5,69.66,54.14,45.7,47.26,41.6,30.1
83.58,76.12,57.86,40.7,46.62,42.36,40.58
80.98,75.92,53.28,44.36,45.9,19.76,39.12
83.4,74.14,47.82,40.24,50.26,30.42,28.86
92.38,70.62,51.02,35.34,52.78,32.82,42.38
87.44,75.3,50.42,33.48,42.32,29.36,32.78
103.26,63.6,44.7,46.94,49.82,31.96,49.52
90.58,64.96,53.42,58.22,52.42,28.12,46.06
87.58,68.76,54.58,59.64,48.06,24.68,22.6
70.84,59.2,54.46,56.36,46.74,33.58,21.38
70.76,66,51.2,38.08,46.9,40.02,30.18
65.96,70.08,46.1,36.52,47.46,45,27.98
64.24,65.6,51.2,45.18,42.5,32.96,32.6
68.78,63.28,55.46,32.6,43.3,41.14,20
56.3,60.64,45.48,35.54,40.88,33.9,28.56
59.22,63.24,55.7,47.38,31.94,34.54,27.74
54.32,64.7,54.24,50.28,35.92,38.42,26.58
61.76,71.86,58.48,49.16,39.84,44.38,31.1
61.1,78.86,56.6,45.5,50.3,48.92,32.28
57.6,75.06,63.58,53.16,46.82,54.5,29.44
